Account Type Description,Customer Type Description,Beneficiary bank,Region,Areas,Amount,Transaction Type,Date
CURRENT A/C,CORPORATE,Meezan Bank,Karachi,Saddar,750000,CREDIT,2024-01-15
SAVINGS A/C,INDIVIDUAL,Allied Bank,Lahore,DHA,250000,DEBIT,2024-01-15
ASAAN ACCOUNT,SME,Bank Alfalah,Islamabad,Blue Area,450000,CREDIT,2024-01-15
ISLAMIC CURRENT,GOVERNMENT,UBL,Peshawar,Cantt,680000,CREDIT,2024-01-15
FOREIGN CURRENCY,CORPORATE,MCB,Karachi,Clifton,920000,DEBIT,2024-01-15
CURRENT A/C,INDIVIDUAL,Standard Chartered,Lahore,Gulberg,340000,CREDIT,2024-01-16
RUTBA ACCOUNT,SME,Meezan Bank,Faisalabad,City Center,560000,DEBIT,2024-01-16
ASAAN DIGITAL,CORPORATE,Dubai Islamic,Rawalpindi,Saddar,870000,CREDIT,2024-01-16
BASIC BANKING,INDIVIDUAL,Bank Al-Habib,Multan,Cantt,230000,DEBIT,2024-01-16
CURRENT A/C,GOVERNMENT,Habib Metro,Gujranwala,City,660000,CREDIT,2024-01-17
ISLAMIC SAVINGS,CORPORATE,Bank Islami,Sialkot,Airport Road,780000,DEBIT,2024-01-17
FREELANCER,INDIVIDUAL,First Women Bank,Hyderabad,Latifabad,290000,CREDIT,2024-01-17
CURRENT A/C,SME,Askari Bank,Quetta,City,430000,DEBIT,2024-01-17
ASAAN REMITTANCE,CORPORATE,Silk Bank,Karachi,DHA,890000,CREDIT,2024-01-18
VALUE ACCOUNT,INDIVIDUAL,JS Bank,Lahore,Model Town,320000,DEBIT,2024-01-18
ISLAMIC CURRENT,GOVERNMENT,Sindh Bank,Islamabad,F-10,670000,CREDIT,2024-01-18
SAVINGS A/C,CORPORATE,Soneri Bank,Peshawar,University Road,940000,DEBIT,2024-01-18
CURRENT A/C,SME,Summit Bank,Karachi,PECHS,480000,CREDIT,2024-01-19
ASAAN ACCOUNT,INDIVIDUAL,Faysal Bank,Lahore,Johar Town,270000,DEBIT,2024-01-19
FOREIGN CURRENCY,CORPORATE,National Bank,Rawalpindi,Commercial,730000,CREDIT,2024-01-19
ISLAMIC SAVINGS,SME,Meezan Bank,Faisalabad,D Ground,520000,DEBIT,2024-01-19
CURRENT A/C,GOVERNMENT,Allied Bank,Multan,Gulgasht,850000,CREDIT,2024-01-20
RUTBA ACCOUNT,CORPORATE,Bank Alfalah,Gujranwala,Satellite Town,390000,DEBIT,2024-01-20
ASAAN DIGITAL,INDIVIDUAL,UBL,Sialkot,Cantt,640000,CREDIT,2024-01-20
BASIC BANKING,SME,MCB,Hyderabad,Qasimabad,470000,DEBIT,2024-01-20
CURRENT A/C,CORPORATE,Standard Chartered,Quetta,Airport Road,920000,CREDIT,2024-01-21
ISLAMIC CURRENT,INDIVIDUAL,Dubai Islamic,Karachi,North Nazimabad,280000,DEBIT,2024-01-21
FREELANCER,GOVERNMENT,Bank Al-Habib,Lahore,Garden Town,580000,CREDIT,2024-01-21
CURRENT A/C,SME,Habib Metro,Islamabad,G-9,370000,DEBIT,2024-01-21
ASAAN REMITTANCE,CORPORATE,Bank Islami,Peshawar,Hayatabad,830000,CREDIT,2024-01-22
